"","Name","ID","Gender","Age","Country","Genres","Popularity","Followers","URI","spotify_id","name","daily_rank","daily_movement","weekly_movement","country","snapshot_date","popularity","is_explicit","duration_ms","album_name","album_release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","is_single","days_since_release"
"63","Bolaget","55ZGFvikpNjQHvtTWS5aZF","",0,"","['swedish eurodance', 'swedish pop']",59,107345,"spotify:artist:55ZGFvikpNjQHvtTWS5aZF","4o5Ob60pz8QHcFKcr4MWyf","Ikväll Igen",4,0,46,"SE","2024-01-01",68,"False",137727,"Ikväll Igen","2023-04-12",0.617,0.529,0,-7.931,1,0.0957,0.498,0,0.553,0.501,165.015,4,TRUE,264
"64","Jimin","1oSPZhvZMIrWW5I41kPkkY","female",29,"KR","['k-pop']",81,7006338,"spotify:artist:1oSPZhvZMIrWW5I41kPkkY","3k6q0O9JnO2GhvD6C8fs20","Closer Than This",4,0,-2,"TH","2024-01-01",89,"False",223302,"Closer Than This","2023-12-22",0.716,0.54,0,-5.951,1,0.0381,0.389,0,0.0692,0.373,87.963,4,TRUE,10
"65","Jimin","1oSPZhvZMIrWW5I41kPkkY","female",29,"KR","['k-pop']",81,7006338,"spotify:artist:1oSPZhvZMIrWW5I41kPkkY","0u8rZGtXJrLtiSe34FPjGG","Like Crazy (English Version)",4,-2,1,"KR","2024-01-01",82,"False",212253,"FACE","2023-03-24",0.623,0.755,7,-5.386,1,0.0415,0.00306,0,0.387,0.32,119.957,4,FALSE,283
"66","Taylor Swift","06HL4z0CvFAxyc27GXpf02","female",30,"US","['pop']",100,95859165,"spotify:artist:06HL4z0CvFAxyc27GXpf02","1BxfuPKGuaTgP7aM0Bbdwr","Cruel Summer",5,0,45,"CA","2024-01-01",96,"False",178426,"Lover","2019-08-23",0.552,0.702,9,-5.707,1,0.157,0.117,0.0000206,0.105,0.564,169.994,4,FALSE,1592
"67","Zé Neto & Cristiano","487N2T9nIPEHrlTZLL3SQs","mixed",9,"BR","['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']",77,19424584,"spotify:artist:487N2T9nIPEHrlTZLL3SQs","42JNab8NPeCADJ9D3Cl5wS","Barulho Do Foguete - Ao Vivo",5,0,-1,"BR","2024-01-01",86,"False",133546,"Escolhas, Vol. 2 (Ao Vivo)","2023-06-22",0.646,0.871,4,-6.195,1,0.219,0.172,0,0.765,0.624,79.994,4,FALSE,193
"68","Doja Cat","5cj0lLjcoR7YOSnhnX0Po5","female",24,"US","['dance pop', 'pop']",86,27692820,"spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","56y1jOTK0XSvJzVv9vHQBK","Paint The Town Red",5,-1,18,"AU","2024-01-01",86,"True",230480,"Scarlet","2023-09-20",0.864,0.556,2,-7.683,0,0.194,0.255,0.00000385,0.112,0.726,99.974,4,FALSE,103
"69","Fleetwood Mac","08GQAI4eElDnROBrJRGE0X","mixed",53,"GB","['album rock', 'classic rock', 'rock', 'soft rock', 'yacht rock']",79,10798694,"spotify:artist:08GQAI4eElDnROBrJRGE0X","0ofHAoxe9vBkTCp2UQIavz","Dreams - 2004 Remaster",5,3,33,"NZ","2024-01-01",85,"False",257800,"Rumours (Super Deluxe)","1977-02-04",0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,4,FALSE,17132
"70","juan karlos","0a4r2EnsevvHCukoJ1xFwJ","male",19,"PH","['opm']",66,1580192,"spotify:artist:0a4r2EnsevvHCukoJ1xFwJ","2BLdelIp46CHvKkyWeqZHL","ERE",5,0,-1,"PH","2024-01-01",70,"True",284812,"Sad Songs and Bullshit Part 1","2023-09-22",0.48,0.571,7,-7.818,1,0.042,0.526,0.000213,0.232,0.257,146.051,4,FALSE,101
"71","Tate McRae","45dkTj5sMRSjrmBSBeiHym","female",17,"CA","['alt z', 'pop']",84,4297648,"spotify:artist:45dkTj5sMRSjrmBSBeiHym","3rUGC1vUpkDG9CZFHMur1t","greedy",5,-1,33,"US","2024-01-01",97,"True",131872,"greedy","2023-09-15",0.75,0.733,6,-3.18,0,0.0319,0.256,0,0.114,0.844,111.018,1,TRUE,108
"72","Tate McRae","45dkTj5sMRSjrmBSBeiHym","female",17,"CA","['alt z', 'pop']",84,4297648,"spotify:artist:45dkTj5sMRSjrmBSBeiHym","3rUGC1vUpkDG9CZFHMur1t","greedy",5,0,-1,"MY","2024-01-01",97,"True",131872,"greedy","2023-09-15",0.75,0.733,6,-3.18,0,0.0319,0.256,0,0.114,0.844,111.018,1,TRUE,108
